71,60,List not found : ,38,1 , List used : ,29,7,38,20,1
86,20,List not found : ,81,125,118,124 , List used : ,80,81,125,118,124
141,80,List not found : ,202 , List used : ,142,176,199,143,202
144,60,List not found : ,198,159 , List used : ,158,198,159,157,140
169,60,List not found : ,159,134 , List used : ,168,170,159,134,171
180,20,List not found : ,134,159,140,138 , List used : ,134,159,140,185,138
207,80,List not found : ,199 , List used : ,209,208,200,199,142
Average  ,50.9091

ratio CLD / HTD : 30% number img used  6
0,66.6667,List not found : ,67,5 , List used : ,61,67,25,37,5,33
1,16.6667,List not found : ,16,49,76,89,28 , List used : ,2,16,49,76,89,28
44,66.6667,List not found : ,53,14 , List used : ,43,45,39,40,53,14
